Comment,Designator,Footprint,JLCPCB Part #
100nF,C1,C_0402_1005Metric,C1525
100nF,C2,C_0402_1005Metric,C1525
100nF,C3,C_0402_1005Metric,C1525
100nF,C4,C_0402_1005Metric,C1525
100nF,C5,C_0402_1005Metric,C1525
100nF,C6,C_0402_1005Metric,C1525
100nF,C7,C_0402_1005Metric,C1525
100nF,C8,C_0402_1005Metric,C1525
100nF,C9,C_0402_1005Metric,C1525
100nF,C10,C_0402_1005Metric,C1525
100nF,C11,C_0402_1005Metric,C1525
100nF,C12,C_0402_1005Metric,C1525
100nF,C13,C_0402_1005Metric,C1525
100nF,C14,C_0402_1005Metric,C1525
100nF,C15,C_0402_1005Metric,C1525
100nF,C16,C_0402_1005Metric,C1525
100nF,C17,C_0402_1005Metric,C1525
100nF,C18,C_0402_1005Metric,C1525
100nF,C19,C_0402_1005Metric,C1525
100nF,C20,C_0402_1005Metric,C1525
100nF,C21,C_0402_1005Metric,C1525
100nF,C22,C_0402_1005Metric,C1525
100nF,C23,C_0402_1005Metric,C1525
100nF,C24,C_0402_1005Metric,C1525
100nF,C25,C_0402_1005Metric,C1525
100nF,C26,C_0402_1005Metric,C1525
100nF,C27,C_0402_1005Metric,C1525
100nF,C28,C_0402_1005Metric,C1525
100nF,C29,C_0402_1005Metric,C1525
100nF,C30,C_0402_1005Metric,C1525
1uF,EC1,C_0603_1608Metric,C15849
1uF,EC2,C_0603_1608Metric,C15849
SPH0641LU4H-1,MK0,Knowles_LGA-5_3.5x2.65mm,C2879853
SPH0641LU4H-1,MK1,Knowles_LGA-5_3.5x2.65mm,C2879853
SPH0641LU4H-1,MK2,Knowles_LGA-5_3.5x2.65mm,C2879853
SPH0641LU4H-1,MK3,Knowles_LGA-5_3.5x2.65mm,C2879853
SPH0641LU4H-1,MK4,Knowles_LGA-5_3.5x2.65mm,C2879853
SPH0641LU4H-1,MK5,Knowles_LGA-5_3.5x2.65mm,C2879853
SPH0641LU4H-1,MK6,Knowles_LGA-5_3.5x2.65mm,C2879853
SPH0641LU4H-1,MK7,Knowles_LGA-5_3.5x2.65mm,C2879853
SPH0641LU4H-1,MK8,Knowles_LGA-5_3.5x2.65mm,C2879853
SPH0641LU4H-1,MK9,Knowles_LGA-5_3.5x2.65mm,C2879853
SPH0641LU4H-1,MK10,Knowles_LGA-5_3.5x2.65mm,C2879853
SPH0641LU4H-1,MK11,Knowles_LGA-5_3.5x2.65mm,C2879853
SPH0641LU4H-1,MK12,Knowles_LGA-5_3.5x2.65mm,C2879853
SPH0641LU4H-1,MK13,Knowles_LGA-5_3.5x2.65mm,C2879853
SPH0641LU4H-1,MK14,Knowles_LGA-5_3.5x2.65mm,C2879853
SPH0641LU4H-1,MK15,Knowles_LGA-5_3.5x2.65mm,C2879853
SPH0641LU4H-1,MK16,Knowles_LGA-5_3.5x2.65mm,C2879853
SPH0641LU4H-1,MK17,Knowles_LGA-5_3.5x2.65mm,C2879853
SPH0641LU4H-1,MK18,Knowles_LGA-5_3.5x2.65mm,C2879853
SPH0641LU4H-1,MK19,Knowles_LGA-5_3.5x2.65mm,C2879853
SPH0641LU4H-1,MK20,Knowles_LGA-5_3.5x2.65mm,C2879853
SPH0641LU4H-1,MK21,Knowles_LGA-5_3.5x2.65mm,C2879853
SPH0641LU4H-1,MK22,Knowles_LGA-5_3.5x2.65mm,C2879853
SPH0641LU4H-1,MK23,Knowles_LGA-5_3.5x2.65mm,C2879853
SPH0641LU4H-1,MK24,Knowles_LGA-5_3.5x2.65mm,C2879853
SPH0641LU4H-1,MK25,Knowles_LGA-5_3.5x2.65mm,C2879853
SPH0641LU4H-1,MK26,Knowles_LGA-5_3.5x2.65mm,C2879853
SPH0641LU4H-1,MK27,Knowles_LGA-5_3.5x2.65mm,C2879853
SPH0641LU4H-1,MK28,Knowles_LGA-5_3.5x2.65mm,C2879853
SPH0641LU4H-1,MK29,Knowles_LGA-5_3.5x2.65mm,C2879853
33,R1,R_0603_1608Metric,C177281
