Designator,Mid X,Mid Y,Layer,Rotation
C1,74,-63,Top,90
C2,61,-70,Top,90
C3,69.5,-50.02,Top,90
C4,77.5,-75,Top,90
C5,51,-60.02,Top,90
C6,84.5,-52.52,Top,90
C7,63,-82.98,Top,90
C8,58,-43,Top,90
C9,91,-71,Top,90
C10,45,-72.52,Top,90
C11,79.5,-39,Top,90
C12,76.5,-89.48,Top,90
C13,28.607678,-50.436467,Top,90
C14,98,-56.48,Top,90
C15,50.5,-88.48,Top,90
C16,64,-31.02,Top,90
C17,94,-84.48,Top,90
C18,34,-64.52,Top,90
C19,93.5,-38.02,Top,90
C20,66.5,-99.5,Top,90
C21,44.5,-34.48,Top,90
C22,106,-68.02,Top,90
C23,36.5,-85.02,Top,90
C24,77,-24.02,Top,90
C25,88.5,-98.02,Top,90
C26,43.39148,-48.066401,Top,90
C27,106.5,-45.02,Top,90
C28,51.5,-102.52,Top,90
C29,53.5,-22,Top,90
C30,108,-84,Top,90
EC1,23.5,-18.5,Top,0
EC2,106.5,-18.5,Top,180
MK0,70.809475,-65,Top,0
MK1,57.580368,-71.796989,Top,0
MK2,66.135693,-52.059358,Top,0
MK3,74.351964,-77.197981,Top,0
MK4,47.837994,-61.964282,Top,0
MK5,81.257349,-54.658404,Top,0
MK6,59.562234,-85.228215,Top,0
MK7,54.629591,-45.03241,Top,0
MK8,87.499637,-73.216831,Top,0
MK9,41.592876,-74.66212,Top,0
MK10,76.28378,-40.887217,Top,0
MK11,73.338426,-91.584217,Top,0
MK12,25.475563,-52.391892,Top,0
MK13,94.482831,-58.518282,Top,0
MK14,47.007087,-90.593067,Top,0
MK15,60.84322,-32.922419,Top,0
MK16,90.518549,-86.50706,Top,0
MK17,30.660031,-66.420065,Top,0
MK18,90.04837,-40.073525,Top,0
MK19,63.324166,-101.241434,Top,0
MK20,41.166394,-36.439375,Top,0
MK21,102.755062,-70.07989,Top,0
MK22,33.010212,-87.257661,Top,0
MK23,73.74145,-26.143378,Top,0
MK24,85.218519,-100.284011,Top,0
MK25,39.866209,-50.436761,Top,0
MK26,103.39377,-47.261104,Top,0
MK27,48.366859,-104.744038,Top,0
MK28,50.155288,-23.72792,Top,0
MK29,104.500183,-85.760189,Top,0
R1,101.5,-23.995,Top,90
